intent,description
alarm_query,"Retrieve information about user's alarms, including active alarms, scheduled alarms, and alarm settings for a specific date or time."
alarm_remove,"Remove a previously set alarm, cancelling its future occurrence."
alarm_set,"Set a reminder or alarm for a specific time or date, such as a meeting, a specific time, or a recurring event."
audio_volume_down,"Adjust the audio volume to a lower level, typically to a more comfortable or preferred setting."
audio_volume_mute,"Request to temporarily mute the audio or turn off the speakers, often for a specific period of time (e.g. an hour) or in a specific context (e.g. when not at home)."
audio_volume_other,"Adjust or inquire about audio volume settings, including volume control, clarity, and overall volume level."
audio_volume_up,"Adjust audio volume to increase volume. User requests to increase the volume of audio playback, such as music, voice assistant responses, or other sounds, to make it louder."
calendar_query,"Checking availability, appointments, or events on a specific date or time, or retrieving information about a particular person or event from the calendar."
calendar_remove,"Based on the examples, the intent calendar_remove appears to be related to canceling or deleting events or appointments from a calendar. The intent is to remove a scheduled event or appointment, which can be a specific date, event, or type of event (e.g. hair cut)."
calendar_set,"The intent calendar_set is used to schedule events, set reminders, and add people to a calendar."
cooking_query,"Requesting recipe information, including ingredient substitutions, cooking methods, and cooking times, to assist with meal planning and preparation."
cooking_recipe,"This intent is about seeking information or guidance on cooking techniques, ingredients, or methods to prepare a specific dish or meal. It may involve asking about cooking time, asking for recipe suggestions, or seeking alternatives to traditional ingredients."
datetime_convert,"Converts dates and times between different time zones, providing information on time differences, conversions, and equivalent times in various regions."
datetime_query,"Get current date and time information for a specific location or globally, including asking for the time in a particular city or country, or requesting the current date."
email_addcontact,Add an email address to a user's contact list.
email_query,"Check for new emails in the user's inbox or email folder, and retrieve any unread or recently received emails."
email_querycontact,"Based on the examples, the intent email_querycontact appears to be related to retrieving or accessing contact information, such as names, phone numbers, or profiles, from an email or contact list."
email_sendemail,"Send an email to a specific recipient with a message, attachment, or forwarding of content."
general_greet,"This intent involves initiating a conversation or exchanging pleasantries, typically with a friendly or casual tone."
general_joke,"The intent general_joke is to request a humorous joke or a funny story from the user, often with the goal of eliciting laughter or entertainment."
general_quirky,"A conversational intent that covers casual, everyday topics and personal experiences, often involving humor, emotions, or unexpected events, such as sharing busy days, expressing opinions, or discussing personal life events."
iot_cleaning,"Activate or schedule smart home cleaning devices, such as vacuum cleaners, to perform cleaning tasks."
iot_coffee,"Control and manage a coffee machine, including setting schedules, making requests, and controlling the brewing process."
iot_hue_lightchange,"Change the color of a light to a specific color (e.g. green, red, blue, yellow) or set the color of a light to a specific hue."
iot_hue_lightdim,"Adjust the brightness of a light in a specified location. This intent is used to control the brightness of a light, typically in a specific room or location, to make it dimmer or brighter."
iot_hue_lightoff,"Control Hue lights to turn them off. This intent is used to instruct a smart lighting system, such as Philips Hue, to switch off one or more lights."
iot_hue_lighton,"Turn on a Hue light or lights, including lamps, hall lights, and other devices."
iot_hue_lightup,"Adjust the brightness of a light, increasing its intensity."
iot_wemo_off,Turn off a WeMo plug socket or smart socket.
iot_wemo_on,"Turn on a Wemo smart plug or socket to control a device, such as a plug, socket, or dongle."
lists_createoradd,"This intent is used to create or add new items to a list, such as adding a new item to a to-do list, adding a meeting to a project list, or adding a note to a list."
lists_query,"This intent is used to query and retrieve information about a user's lists, including asking for a list to be displayed, inquiring about the location of a specific list, or requesting specific items from a list."
lists_remove,"Remove or delete an item from a list, such as a chore list, shopping list, or bills list."
music_dislikeness,"Expressing dislike or disapproval towards a song or music, indicating a negative emotional response or a desire to avoid or skip the music."
music_likeness,"Add or save a song to a user's personal music collection or favorites, often accompanied by a positive sentiment (e.g. 'I like') or a request to add it to their favorite list."
music_query,"Get information about a specific song or your music preferences, such as the artist, song title, genre, or playlists associated with it."
music_settings,"Manage music playback settings, including repeating the current song, stopping after the current song, shuffling playlists, and enabling or disabling shuffle mode."
